suction_kpa,sr_closed_form,sr_independent_formula,sr_abs_error,pc_closed_form,pc_independent_formula,pc_abs_error
5.0,0.9656690950679448,0.9656690950679448,0.0,123.04450624417257,123.04450624417255,1.4210854715202004e-14
7.215189873417721,0.9538775988343625,0.9538775988343625,0.0,124.3472675495176,124.3472675495176,0.0
9.430379746835442,0.9399482103155252,0.9399482103155252,0.0,125.62338564292614,125.62338564292615,1.4210854715202004e-14
11.645569620253164,0.924450521489198,0.924450521489198,0.0,126.87392849805319,126.87392849805319,0.0
13.860759493670885,0.9078546370680234,0.9078546370680234,0.0,128.09990113480208,128.09990113480208,0.0
16.075949367088604,0.8905481033337754,0.8905481033337754,0.0,129.30225047203282,129.30225047203282,0.0
18.29113924050633,0.8728464018635808,0.8728464018635808,0.0,130.48186972151595,130.48186972151595,0.0
20.50632911392405,0.8550020397827226,0.8550020397827226,0.0,131.6396023742106,131.6396023742106,0.0
22.72151898734177,0.8372132965486506,0.8372132965486506,0.0,132.7762458234303,132.7762458234303,0.0
24.93670886075949,0.8196326090224393,0.8196326090224393,0.0,133.89255466387866,133.89255466387866,0.0
27.151898734177212,0.802374355813092,0.802374355813092,0.0,134.9892437007407,134.98924370074073,2.842170943040401e-14
29.367088607594933,0.7855218416872022,0.7855218416872022,0.0,136.06699069888114,136.06699069888114,0.0
31.582278481012658,0.7691333813492235,0.7691333813492235,0.0,137.1264388986288,137.12643889862883,2.842170943040401e-14
33.79746835443038,0.7532474711170147,0.7532474711170147,0.0,138.16819932153223,138.16819932153223,0.0
36.0126582278481,0.7378870990635124,0.7378870990635124,0.0,139.19285288678148,139.19285288678148,0.0
38.22784810126582,0.7230632796757944,0.7230632796757944,0.0,140.20095235665207,140.20095235665207,0.0
40.44303797468354,0.7087779142457147,0.7087779142457147,0.0,141.19302412728268,141.19302412728268,0.0
42.65822784810126,0.6950260798266529,0.6950260798266529,0.0,142.16956987931147,142.16956987931144,2.842170943040401e-14
44.87341772151898,0.6817978432095935,0.6817978432095935,0.0,143.131068101329,143.131068101329,0.0
47.088607594936704,0.6690796859553273,0.6690796859553273,0.0,144.07797549772926,144.07797549772926,0.0
49.303797468354425,0.6568556146566483,0.6568556146566483,0.0,145.01072829132775,145.01072829132775,0.0
51.518987341772146,0.6451080188446526,0.6451080188446526,0.0,145.92974343004693,145.92974343004693,0.0
53.73417721518987,0.6338183281301097,0.6338183281301097,0.0,146.8354197060244,146.8354197060244,0.0
55.94936708860759,0.6229675106570454,0.6229675106570454,0.0,147.72813879466162,147.72813879466162,0.0
58.164556962025316,0.6125364468362712,0.6125364468362712,0.0,148.60826622038985,148.60826622038985,0.0
60.379746835443036,0.602506205562506,0.602506205562506,0.0,149.4761522552685,149.4761522552685,0.0
62.59493670886076,0.5928582445649077,0.5928582445649077,0.0,150.33213275594557,150.33213275594557,0.0
64.81012658227849,0.5835745520337757,0.5835745520337757,0.0,151.17652994398472,151.17652994398472,0.0
67.0253164556962,0.5746377430406977,0.5746377430406977,0.0,152.00965313409625,152.00965313409625,0.0
69.24050632911391,0.5660311213726522,0.5660311213726522,0.0,152.83179941439067,152.83179941439067,0.0
71.45569620253164,0.5577387150980307,0.5577387150980307,0.0,153.64325428239874,153.64325428239874,0.0
73.67088607594935,0.5497452923596947,0.5497452923596947,0.0,154.44429224026524,154.44429224026524,0.0
75.88607594936708,0.5420363624516972,0.5420363624516972,0.0,155.23517735222106,155.23517735222106,0.0
78.10126582278481,0.534598166104052,0.534598166104052,0.0,156.01616376716728,156.01616376716728,0.0
80.31645569620252,0.5274176580106138,0.5274176580106138,0.0,156.7874962089583,156.78749620895832,2.842170943040401e-14
82.53164556962025,0.5204824839379312,0.5204824839379312,0.0,157.54941043675083,157.5494104367508,2.842170943040401e-14
84.74683544303797,0.5137809542072653,0.5137809542072653,0.0,158.30213367758557,158.30213367758557,0.0
86.9620253164557,0.5073020149156061,0.5073020149156061,0.0,159.04588503318752,159.04588503318752,0.0
89.17721518987341,0.5010352179289647,0.5010352179289647,0.0,159.78087586280654,159.78087586280654,0.0
91.39240506329114,0.49497069042232117,0.49497069042232117,0.0,160.50731014377286,160.50731014377286,0.0
93.60759493670885,0.4890991045395108,0.4890991045395108,0.0,161.2253848113052,161.2253848113052,0.0
95.82278481012658,0.48341164759052835,0.48341164759052835,0.0,161.93529007898874,161.93529007898874,0.0
98.03797468354429,0.4778999930834315,0.4778999930834315,0.0,162.63720974122705,162.63720974122708,2.842170943040401e-14
100.25316455696202,0.47255627279547757,0.47255627279547757,0.0,163.3313214588716,163.3313214588716,0.0
102.46835443037973,0.4673730500173201,0.4673730500173201,0.0,164.01779702913876,164.01779702913873,2.842170943040401e-14
104.68354430379746,0.4623432940502301,0.4623432940502301,0.0,164.69680264084087,164.69680264084087,0.0
106.89873417721518,0.45746035599567786,0.45746035599567786,0.0,165.36849911587956,165.36849911587956,0.0
109.1139240506329,0.4527179458462859,0.4527179458462859,0.0,166.03304213787902,166.03304213787902,0.0
111.32911392405063,0.44811011086483477,0.44811011086483477,0.0,166.69058246877285,166.69058246877285,0.0
113.54430379746834,0.4436312152218756,0.4436312152218756,0.0,167.3412661540978,167.34126615409784,2.842170943040401e-14
115.75949367088607,0.43927592085115963,0.43927592085115963,0.0,167.98523471769397,167.98523471769397,0.0
117.97468354430379,0.4350391694744373,0.4350391694744373,0.0,168.62262534646038,168.62262534646038,0.0
120.18987341772151,0.43091616574231983,0.43091616574231983,0.0,169.25357106577,169.25357106577002,2.842170943040401e-14
122.40506329113923,0.42690236143518756,0.42690236143518756,0.0,169.87820090610427,169.87820090610427,0.0
124.62025316455696,0.422993440667011,0.422993440667011,0.0,170.49664006143018,170.49664006143018,0.0
126.83544303797467,0.41918530603503573,0.41918530603503573,0.0,171.10901003980564,171.10901003980567,2.842170943040401e-14
129.0506329113924,0.4154740656592306,0.4154740656592306,0.0,171.71542880666635,171.71542880666635,0.0
131.2658227848101,0.41185602105697766,0.41185602105697766,0.0,172.316010921217,172.316010921217,0.0
133.48101265822783,0.408327655800487,0.408327655800487,0.0,172.91086766632137,172.9108676663214,2.842170943040401e-14
135.69620253164555,0.40488562490671254,0.40488562490671254,0.0,173.500107172259,173.500107172259,0.0
137.91139240506328,0.40152674491200574,0.40152674491200574,0.0,174.08383453469352,174.08383453469352,0.0
140.126582278481,0.3982479845862958,0.3982479845862958,0.0,174.6621519271743,174.6621519271743,0.0
142.3417721518987,0.3950464562441557,0.3950464562441557,0.0,175.235158708472,175.235158708472,0.0
144.55696202531644,0.39191940761266014,0.39191940761266014,0.0,175.80295152503112,175.80295152503112,0.0
146.77215189873417,0.3888642142184351,0.3888642142184351,0.0,176.3656244088029,176.3656244088029,0.0
148.9873417721519,0.38587837225869887,0.38587837225869887,0.0,176.9232688707067,176.9232688707067,0.0
151.20253164556962,0.38295949192340956,0.38295949192340956,0.0,177.4759739899521,177.4759739899521,0.0
153.41772151898732,0.3801052911378268,0.3801052911378268,0.0,178.02382649943976,178.02382649943976,0.0
155.63291139240505,0.3773135896968843,0.3773135896968843,0.0,178.56691086744578,178.56691086744578,0.0
157.84810126582278,0.37458230376473134,0.37458230376473134,0.0,179.1053093757821,179.1053093757821,0.0
160.0632911392405,0.3719094407146547,0.3719094407146547,0.0,179.63910219461357,179.6391021946136,2.842170943040401e-14
